epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.332,1.45736,1.91069,1.37086,0.52028,0.3351,0.31708,0.18734,1.4498,2.76252,1.69681,0.000415904,0.000415904,0.000415904
2,421.327,1.6035,1.77747,1.45448,0.4211,0.38298,0.32095,0.18992,1.45566,1.93963,1.64386,0.000816085,0.000816085,0.000816085
3,1587.04,1.5858,1.71769,1.45573,0.41373,0.41205,0.37129,0.2237,1.43028,1.65252,1.64521,0.00119977,0.00119977,0.00119977
4,1863.47,1.55348,1.6312,1.44643,0.42107,0.41891,0.37337,0.2251,1.29651,1.50549,1.52011,0.00117575,0.00117575,0.00117575
5,2025.8,1.5122,1.56689,1.40905,0.52034,0.4401,0.41945,0.25049,1.28657,1.36037,1.49627,0.001151,0.001151,0.001151
6,2245.17,1.45206,1.4524,1.37329,0.51094,0.43588,0.42842,0.26139,1.22368,1.32851,1.44971,0.00112625,0.00112625,0.00112625
7,2603.41,1.40862,1.40918,1.34594,0.50446,0.50254,0.48007,0.29835,1.18636,1.13855,1.44304,0.0011015,0.0011015,0.0011015
8,2806.02,1.37878,1.32737,1.32551,0.50973,0.48199,0.465,0.29036,1.19457,1.1645,1.44673,0.00107675,0.00107675,0.00107675
9,2968.17,1.36949,1.28795,1.3154,0.58417,0.4948,0.512,0.30932,1.17175,1.1464,1.42342,0.001052,0.001052,0.001052
10,3162.74,1.35253,1.25548,1.30474,0.53996,0.48906,0.48282,0.30207,1.16728,1.1634,1.42889,0.00102725,0.00102725,0.00102725
11,3347.14,1.31213,1.19104,1.27435,0.539,0.50619,0.50337,0.31531,1.13458,1.09005,1.39099,0.0010025,0.0010025,0.0010025
12,3663.28,1.2833,1.17851,1.26602,0.61537,0.50575,0.52073,0.31585,1.11512,1.05354,1.37318,0.00097775,0.00097775,0.00097775
13,4292.69,1.26639,1.16606,1.25061,0.56819,0.53544,0.52298,0.32569,1.12167,1.04663,1.37516,0.000953,0.000953,0.000953
14,4737.76,1.25598,1.12568,1.2493,0.60834,0.50757,0.53482,0.33509,1.11055,0.99625,1.3782,0.00092825,0.00092825,0.00092825
15,5286.69,1.2456,1.1006,1.24282,0.60699,0.49409,0.53201,0.32573,1.12364,1.06531,1.37613,0.0009035,0.0009035,0.0009035
16,5538.81,1.24338,1.09937,1.24115,0.60062,0.53301,0.54692,0.34056,1.09523,1.01899,1.37012,0.00087875,0.00087875,0.00087875
17,5727.65,1.22255,1.04955,1.24213,0.587,0.55235,0.53893,0.34165,1.09611,0.96897,1.35786,0.000854,0.000854,0.000854
18,5909.65,1.20205,1.03141,1.22429,0.58247,0.54554,0.54699,0.3443,1.10375,0.94839,1.37064,0.00082925,0.00082925,0.00082925
19,6376.21,1.19773,1.00537,1.20896,0.57101,0.56172,0.54391,0.3449,1.07218,0.94741,1.34289,0.0008045,0.0008045,0.0008045
20,6552.06,1.17985,0.98834,1.20472,0.58681,0.56352,0.55613,0.35079,1.0722,0.95365,1.35126,0.00077975,0.00077975,0.00077975
21,6990.17,1.16473,0.97282,1.19856,0.6357,0.55211,0.57432,0.36299,1.05298,0.89829,1.34297,0.000755,0.000755,0.000755
22,7332.07,1.1459,0.94721,1.18016,0.60977,0.57465,0.58486,0.36637,1.02236,0.91207,1.30632,0.00073025,0.00073025,0.00073025
23,7695.91,1.13891,0.94363,1.18921,0.61893,0.55672,0.57429,0.36613,1.08065,0.92704,1.32321,0.0007055,0.0007055,0.0007055
24,7858.94,1.12145,0.92925,1.18444,0.62463,0.55139,0.56941,0.36353,1.0347,0.89361,1.31144,0.00068075,0.00068075,0.00068075
25,8191.46,1.12988,0.91871,1.16815,0.63717,0.57533,0.60044,0.37728,1.04326,0.83894,1.32806,0.000656,0.000656,0.000656
26,8520.13,1.11438,0.89515,1.15768,0.61244,0.57053,0.57423,0.3674,1.04289,0.84965,1.32707,0.00063125,0.00063125,0.00063125
27,8840.16,1.10227,0.87561,1.15547,0.65146,0.57756,0.58545,0.37385,1.02236,0.87492,1.32052,0.0006065,0.0006065,0.0006065
28,9033.39,1.07573,0.85554,1.14821,0.62918,0.59748,0.59492,0.37828,1.02287,0.83369,1.31056,0.00058175,0.00058175,0.00058175
29,9258.63,1.081,0.84651,1.13813,0.60139,0.61069,0.60055,0.37996,1.03883,0.84935,1.31452,0.000557,0.000557,0.000557
30,9421.96,1.08369,0.84223,1.13244,0.63325,0.58888,0.60332,0.38543,1.02247,0.81729,1.29728,0.00053225,0.00053225,0.00053225
