epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5714,1.28115,1.90769,1.20723,0.46627,0.44105,0.41461,0.26787,0.99279,0.89907,1.13355,0.00332112,0.00332112,0.00332112
2,147.307,1.29196,1.26799,1.17086,0.51794,0.42377,0.38361,0.24096,1.04069,1.06288,1.15391,0.00662811,0.00662811,0.00662811
3,216.06,1.45802,1.43379,1.25527,0.38299,0.31831,0.27415,0.15746,1.38802,1.49243,1.33359,0.00990869,0.00990869,0.00990869
4,284.29,1.59494,1.59616,1.33105,0.40168,0.34739,0.29068,0.17059,1.38164,1.43705,1.36421,0.0098812,0.0098812,0.0098812
5,355.734,1.61616,1.56139,1.34747,0.60904,0.35584,0.33392,0.19599,1.3019,1.41413,1.30623,0.0098416,0.0098416,0.0098416
6,423.89,1.58752,1.50207,1.32414,0.55773,0.33207,0.31921,0.18475,1.35699,1.48032,1.33652,0.009802,0.009802,0.009802
7,491.992,1.54002,1.40245,1.28725,0.49535,0.36238,0.35857,0.21664,1.24448,1.20946,1.2758,0.0097624,0.0097624,0.0097624
8,560.252,1.50566,1.35484,1.26218,0.52733,0.35848,0.35998,0.21406,1.27501,1.17059,1.28775,0.0097228,0.0097228,0.0097228
9,628.295,1.46723,1.28558,1.25298,0.6362,0.36858,0.39593,0.23774,1.23408,1.12622,1.24316,0.0096832,0.0096832,0.0096832
10,696.306,1.45609,1.29072,1.25912,0.5912,0.39333,0.4129,0.25127,1.20135,1.04946,1.25439,0.0096436,0.0096436,0.0096436
11,764.51,1.41516,1.21936,1.23647,0.52786,0.41263,0.39907,0.25091,1.16526,1.05736,1.21963,0.009604,0.009604,0.009604
12,832.529,1.39663,1.18425,1.22352,0.52414,0.38205,0.3815,0.23744,1.19024,1.0922,1.22548,0.0095644,0.0095644,0.0095644
13,900.765,1.40643,1.17485,1.2216,0.52383,0.42705,0.42786,0.26638,1.13064,0.96546,1.21736,0.0095248,0.0095248,0.0095248
14,968.205,1.34995,1.12049,1.19711,0.5782,0.39239,0.41527,0.25803,1.14708,1.03373,1.21324,0.0094852,0.0094852,0.0094852
15,1035.47,1.35731,1.11531,1.2046,0.49343,0.43191,0.42815,0.26609,1.13538,0.96038,1.22274,0.0094456,0.0094456,0.0094456
16,1102.82,1.33938,1.09609,1.19566,0.52045,0.44047,0.43295,0.27605,1.1169,0.95099,1.21142,0.009406,0.009406,0.009406
17,1170.19,1.32222,1.06946,1.18742,0.53311,0.43023,0.45282,0.28225,1.12152,0.9167,1.21827,0.0093664,0.0093664,0.0093664
18,1237.59,1.31573,1.06301,1.17827,0.52985,0.44979,0.44939,0.28246,1.11946,0.8926,1.21532,0.0093268,0.0093268,0.0093268
19,1304.99,1.29239,1.04246,1.17321,0.5433,0.45232,0.43485,0.27584,1.12731,0.92447,1.23742,0.0092872,0.0092872,0.0092872
20,1372.34,1.29177,1.03517,1.16767,0.56129,0.45282,0.45237,0.28758,1.08401,0.91282,1.19758,0.0092476,0.0092476,0.0092476
21,1439.76,1.26894,1.00312,1.14581,0.57992,0.46011,0.46075,0.2904,1.09362,0.89704,1.20377,0.009208,0.009208,0.009208
22,1507.03,1.26619,1.01749,1.16133,0.55219,0.44837,0.4556,0.29257,1.05241,0.87669,1.1847,0.0091684,0.0091684,0.0091684
23,1574.47,1.26122,0.99576,1.14591,0.54353,0.47979,0.46229,0.29117,1.09565,0.90754,1.20974,0.0091288,0.0091288,0.0091288
24,1641.81,1.25653,0.99113,1.1428,0.57599,0.45589,0.46646,0.29763,1.06046,0.86073,1.18063,0.0090892,0.0090892,0.0090892
25,1709.15,1.23335,0.96019,1.14924,0.59726,0.4645,0.47745,0.3069,1.01573,0.83898,1.15524,0.0090496,0.0090496,0.0090496
26,1776.63,1.23697,0.96218,1.13185,0.66504,0.43288,0.47365,0.30283,1.04733,0.8346,1.17957,0.00901,0.00901,0.00901
